"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         125,      -4.485724687,      -3.872028636,      -4.026408943,      -10.10182029
          0,           0,         126,      -4.484303354,      -3.868262082,      -4.024462988,      -10.10127811
          0,           0,         127,      -4.482883056,      -3.864619053,      -4.022079297,      -10.10087875
          0,           0,         128,      -4.481474049,      -3.861147526,      -4.019299007,       -10.1006616
          0,           0,         129,      -4.480085166,      -3.857886555,      -4.016185077,      -10.10066089
          0,           0,         130,      -4.478719128,       -3.85486303,      -4.012817648,      -10.10080632
          0,           0,         131,      -4.477372411,      -3.852087719,      -4.009284682,      -10.10097467
          0,           0,         132,      -4.476036227,      -3.849553352,      -4.005670504,      -10.10131782
          0,           0,         133,      -4.474693893,      -3.847235902,      -4.002049464,      -10.10169452
          0,           0,         134,      -4.473319136,      -3.845095649,      -3.998482468,      -10.10219711
          0,           0,         135,      -4.471877568,      -3.843079093,      -3.995013104,      -10.10263089
          0,           0,         136,      -4.470330216,       -3.84112274,      -3.991664089,      -10.10316256
          0,           0,         137,      -4.468638014,      -3.839158053,      -3.988435948,       -10.1037366
          0,           0,         138,      -4.466763227,      -3.837116749,      -3.985312354,      -10.10429581
          0,           0,         139,      -4.464672136,      -3.834935956,      -3.982265612,      -10.10483468
          0,           0,         140,      -4.462338862,        -3.8325633,      -3.979261086,      -10.10535569
          0,           0,         141,      -4.459754385,      -3.829960386,      -3.976257336,      -10.10603021
          0,           0,         142,       -4.45692468,      -3.827105264,      -3.973215722,      -10.10652253
          0,           0,         143,      -4.453869154,      -3.823993113,      -3.970107657,      -10.10699067
          0,           0,         144,      -4.450618545,      -3.820635293,      -3.966918436,      -10.10744908
          0,           0,         145,      -4.447222598,       -3.81705561,       -3.96364019,      -10.10787741
          0,           0,         146,      -4.443738669,      -3.813286854,      -3.960279637,      -10.10810981
          0,           0,         147,      -4.440224871,      -3.809366234,      -3.956857953,      -10.10824082
          0,           0,         148,      -4.436736309,      -3.805330951,      -3.953405291,      -10.10830514
          0,           0,         149,      -4.433325171,      -3.801213708,      -3.949951635,      -10.10825756
          0,           0,         150,      -4.430031322,      -3.797039925,      -3.946526501,      -10.10804102
          0,           0,         151,      -4.426878894,      -3.792826178,      -3.943153408,      -10.10768056
          0,           0,         152,       -4.42387073,      -3.788580719,      -3.939847731,      -10.10718353
          0,           0,         153,      -4.420992507,      -3.784304163,      -3.936609355,      -10.10650298
          0,           0,         154,      -4.418219944,      -3.779990842,      -3.933417916,      -10.10561061
          0,           0,         155,      -4.415510864,      -3.775633589,      -3.930242633,      -10.10462524
          0,           0,         156,      -4.412814396,      -3.771227232,      -3.927041622,       -10.1033525
          0,           0,         157,      -4.410077031,      -3.766772106,      -3.923768046,      -10.10186447
          0,           0,         158,      -4.407263847,      -3.762273828,      -3.920365837,      -10.10019102
          0,           0,         159,      -4.404346906,      -3.757748553,      -3.916792628,      -10.09833741
          0,           0,         160,      -4.401320334,      -3.753221627,      -3.913018976,      -10.09613418
          0,           0,         161,      -4.398195863,      -3.748728067,      -3.909043241,      -10.09365407
          0,           0,         162,      -4.395018441,      -3.744306416,      -3.904880917,      -10.09106754
          0,           0,         163,      -4.391854326,      -3.739998068,      -3.900572906,      -10.08799372
          0,           0,         164,      -4.388779917,      -3.735844693,      -3.896189994,      -10.08461387
          0,           0,         165,      -4.385880377,      -3.731883139,      -3.891821095,      -10.08101717
          0,           0,         166,      -4.383241082,      -3.728142079,      -3.887569251,      -10.07720436
          0,           0,         167,      -4.380943719,      -3.724638769,      -3.883530709,       -10.0729148
          0,           0,         168,      -4.379049355,      -3.721380444,      -3.879803443,      -10.06845541
          0,           0,         169,      -4.377597564,      -3.718362662,      -3.876469663,      -10.06381676
          0,           0,         170,      -4.376602525,      -3.715571153,      -3.873595161,      -10.05888796
          0,           0,         171,      -4.376055298,       -3.71298295,      -3.871217945,      -10.05367048
          0,           0,         172,      -4.375923115,      -3.710569358,      -3.869348374,      -10.04841594
          0,           0,         173,      -4.376150801,      -3.708299816,      -3.867973649,      -10.04295891
          0,           0,         174,      -4.376666452,       -3.70614556,      -3.867059023,      -10.03732821
