"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         109,      -3.525936447,      -1.140096354,      -1.067242329,       1.941776694,      -8.022897602
          0,           0,         110,      -3.521637273,      -1.139439914,      -1.062260154,       1.946296464,      -8.019024408
          0,           0,         111,      -3.517321888,      -1.138933359,      -1.057409888,       1.950837475,      -8.015249629
          0,           0,         112,      -3.513125634,      -1.138549043,      -1.052752121,       1.955258112,       -8.01160216
          0,           0,         113,      -3.509045679,      -1.138208954,      -1.048180522,       1.959568326,      -8.008044716
          0,           0,         114,      -3.505166281,      -1.137738833,       -1.04379311,       1.963677282,      -8.004685604
          0,           0,         115,      -3.501443887,      -1.137079817,      -1.039462812,       1.967627686,      -8.001493214
          0,           0,         116,      -3.497968616,      -1.136094188,      -1.035304117,       1.971331221,      -7.998421743
          0,           0,         117,      -3.494742655,      -1.134689362,      -1.031217262,       1.974788317,      -7.995571864
          0,           0,         118,      -3.491769286,      -1.132736028,      -1.027318727,       1.977994884,      -7.992820138
          0,           0,         119,      -3.489019096,      -1.130190464,      -1.023532242,       1.980981615,      -7.990188567
          0,           0,         120,      -3.486509255,      -1.127025027,      -1.019942481,       1.983738418,      -7.987662854
          0,           0,         121,      -3.484203808,      -1.123214227,      -1.016528342,       1.986304318,      -7.985159669
          0,           0,         122,      -3.482049378,      -1.118801472,      -1.013386135,       1.988741785,      -7.982688609
          0,           0,         123,      -3.479970652,      -1.113886689,       -1.01050889,       1.991124415,      -7.980259625
          0,           0,         124,      -3.477900392,       -1.10858432,      -1.008043711,       1.993529832,       -7.97778306
          0,           0,         125,      -3.475761686,      -1.103033923,      -1.005946705,       1.996029912,      -7.975267592
          0,           0,         126,      -3.473517233,       -1.09734198,      -1.004265302,       1.998671152,      -7.972772428
          0,           0,         127,      -3.471156435,      -1.091616569,      -1.002964943,       2.001466207,      -7.970210126
          0,           0,         128,      -3.468615221,      -1.085957448,      -1.001990597,        2.00447485,      -7.967619215
          0,           0,         129,      -3.465877598,      -1.080417062,      -1.001237927,       2.007708663,       -7.96497977
          0,           0,         130,      -3.463002539,       -1.07501369,       -1.00060926,       2.011107407,      -7.962276994
          0,           0,         131,      -3.459940002,      -1.069762323,     -0.9999982406,         2.0147049,      -7.959578523
          0,           0,         132,      -3.456776625,        -1.0646781,     -0.9992291447,       2.018403647,      -7.956911041
          0,           0,         133,      -3.453587987,      -1.059718375,     -0.9981701387,       2.022118788,       -7.95431684
          0,           0,         134,      -3.450455283,      -1.054868818,     -0.9966030073,       2.025750726,      -7.951877379
          0,           0,         135,      -3.447560336,       -1.05008392,      -0.994444624,       2.029111801,      -7.949678207
          0,           0,         136,      -3.444965406,      -1.045406421,     -0.9915083287,       2.032122303,      -7.947750426
          0,           0,         137,       -3.44292199,      -1.040860626,      -0.987819674,       2.034527174,      -7.946190364
          0,           0,         138,      -3.441612695,      -1.036521551,     -0.9835105999,       2.036127939,      -7.945162229
          0,           0,         139,      -3.441025215,      -1.032427165,     -0.9787711818,       2.036934338,      -7.944765217
          0,           0,         140,       -3.44138002,      -1.028723949,     -0.9738928126,       2.036723427,      -7.945040572
          0,           0,         141,       -3.44290757,       -1.02559559,     -0.9692453185,       2.035271973,      -7.946153343
          0,           0,         142,      -3.445761174,      -1.023254825,     -0.9650286375,       2.032427024,      -7.948099633
          0,           0,         143,      -3.450035995,      -1.021974029,     -0.9616653521,       2.028095537,      -7.950885827
          0,           0,         144,      -3.455774118,      -1.021931624,      -0.959386119,       2.022238809,      -7.954492343
          0,           0,         145,      -3.462955583,      -1.023355644,     -0.9585259706,        2.01488017,      -7.958940158
          0,           0,         146,      -3.471488569,       -1.02645992,     -0.9593147708,       2.006119658,      -7.964107995
          0,           0,         147,      -3.481153294,      -1.031491415,     -0.9623223122,       1.996174862,      -7.969927155
          0,           0,         148,      -3.491797064,      -1.038591609,     -0.9679379933,       1.985210598,      -7.976319503
          0,           0,         149,      -3.503257846,      -1.047893807,     -0.9762110403,       1.973394732,      -7.983263022
          0,           0,         150,      -3.515242607,      -1.059565204,      -0.987280744,       1.961054345,       -7.99049338
          0,           0,         151,      -3.527525012,      -1.073654396,      -1.001864645,       1.948426701,      -7.997787302
          0,           0,         152,      -3.539625242,      -1.090167624,      -1.020063164,       1.936017497,      -8.004907698
          0,           0,         153,      -3.551339976,       -1.10900597,      -1.041800402,       1.924058518,      -8.011673932
          0,           0,         154,      -3.561995846,      -1.130082155,      -1.066787351,       1.913241209,       -8.01774881
          0,           0,         155,      -3.571688279,       -1.15284781,      -1.095336348,       1.903514044,      -8.022916117
          0,           0,         156,      -3.579855755,      -1.176876863,      -1.127161374,       1.895437736,      -8.027057945
          0,           0,         157,      -3.586701156,      -1.201227239,       -1.16178703,       1.888835919,      -8.030065751
          0,           0,         158,      -3.591680468,      -1.224557211,      -1.196800728,       1.884230031,      -8.031768657
          0,           0,         159,       -3.59510843,      -1.245434989,      -1.231167019,       1.881303063,      -8.032163158
          0,           0,         160,      -3.597059073,       -1.26247085,      -1.262146303,       1.879937525,      -8.031419799
          0,           0,         161,      -3.598247959,      -1.273993672,      -1.287151487,       1.879402162,       -8.02981649
          0,           0,         162,      -3.598893025,      -1.279274056,      -1.303174837,       1.879435328,      -8.027724094
          0,           0,         163,      -3.599774652,      -1.278436303,      -1.309100845,       1.879232383,      -8.025544135
          0,           0,         164,      -3.601720859,      -1.272365234,      -1.306322097,       1.877962866,      -8.023718448
          0,           0,         165,       -3.60435103,      -1.262229226,      -1.297066924,        1.87597269,      -8.022684137
          0,           0,         166,      -3.608108648,      -1.249516094,      -1.284714006,       1.872818155,      -8.022812779
          0,           0,         167,      -3.613730887,      -1.235726723,       -1.27142883,       1.867796285,      -8.024283239
          0,           0,         168,      -3.621401703,      -1.222070963,      -1.258801722,       1.860744885,       -8.02711019
          0,           0,         169,      -3.631325232,      -1.209299994,      -1.248106719,       1.851484199,      -8.031282054
          0,           0,         170,      -3.643388603,      -1.198165573,      -1.240518748,       1.840132031,      -8.036758488
          0,           0,         171,      -3.657754169,      -1.188934853,       -1.23592644,        1.82654597,      -8.043348202
          0,           0,         172,      -3.673921663,      -1.182053277,      -1.235163671,       1.811216495,      -8.051077616
          0,           0,         173,      -3.691977606,      -1.177485973,      -1.237761218,       1.794067524,      -8.059809263
          0,           0,         174,      -3.711635099,      -1.175229215,      -1.243978675,       1.775389966,      -8.069334362
          0,           0,         175,      -3.732576528,      -1.175378213,      -1.253989051,       1.755484201,      -8.079515245
          0,           0,         176,      -3.754678249,      -1.177831378,      -1.266822351,       1.734452198,      -8.090106809
          0,           0,         177,       -3.77749462,       -1.18268545,      -1.282827083,       1.712705763,      -8.100958999
          0,           0,         178,      -3.800916942,      -1.189802253,      -1.301431897,       1.690327034,      -8.111830242
          0,           0,         179,      -3.824498534,      -1.199038108,      -1.321995519,        1.66767841,      -8.122588112
          0,           0,         180,      -3.847847777,      -1.210266957,      -1.343840164,       1.645067763,      -8.133169071
          0,           0,         181,        -3.8705871,      -1.223412442,      -1.366207868,       1.622806495,      -8.143422205
          0,           0,         182,      -3.892384543,       -1.23843297,      -1.388025235,       1.601133343,      -8.153374629
          0,           0,         183,      -3.913325831,      -1.255138741,      -1.408269804,       1.579929117,      -8.163213159
