"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,      "Avg_c"     ,       "CD"       ,       "CL"       
          0,           0,          22,      -2.136649123,      0.1141034503,      0.0937478137,       3.247312586,       1.451942695,       3.116721777,       340.2970288,                 0,                 0
          0,           0,          23,       -2.10224694,     0.08037735211,      0.1253115316,       3.305915397,       1.519170702,       3.098102091,       340.2970288,                 0,                 0
          0,           0,          24,      -2.054503176,      0.1049768941,      0.1515659223,        3.38109724,       1.577275725,       3.103145869,       340.2970288,                 0,                 0
          0,           0,          25,      -2.033580404,       0.100977222,      0.1958000467,       3.408570308,       1.620548225,       3.140752144,       340.2970288,                 0,                 0
          0,           0,          26,      -1.995635346,      0.1324283753,      0.2324203133,       3.443659793,       1.658646279,       3.157734802,       340.2970288,                 0,                 0
          0,           0,          27,      -1.960946605,      0.1639206628,      0.2504198387,       3.472949572,       1.695266553,        3.14824688,       340.2970288,                 0,                 0
          0,           0,          28,      -1.945002176,      0.1802107398,      0.2602342389,        3.48321649,       1.729116764,       3.132172412,       340.2970288,                 0,                 0
          0,           0,          29,      -1.941850481,      0.1896143303,      0.2640625455,       3.481219825,        1.76128128,       3.110754814,       340.2970288,                 0,                 0
          0,           0,          30,      -1.946762048,      0.1922537409,      0.2650587481,       3.472470031,       1.792803532,       3.093931994,       340.2970288,                 0,                 0
          0,           0,          31,      -1.954716623,       0.189556309,      0.2645944162,       3.462149313,       1.824992227,       3.080089896,       340.2970288,                 0,                 0
          0,           0,          32,      -1.962833696,      0.1821892994,      0.2651050462,       3.452923062,        1.85866157,       3.068852404,       340.2970288,                 0,                 0
          0,           0,          33,      -1.966281483,      0.1711196085,      0.2664355104,       3.449194386,       1.894513188,       3.054643929,       340.2970288,                 0,                 0
          0,           0,          34,      -1.965032349,      0.1566767577,       0.273074072,        3.45055124,       1.931427016,       3.043490333,       340.2970288,                 0,                 0
          0,           0,          35,       -1.95482665,      0.1420667531,      0.2784078725,       3.460503114,       1.968648911,       3.021198201,       340.2970288,                 0,                 0
          0,           0,          36,      -1.945258509,      0.1242386741,      0.3003803627,       3.469668259,       2.003307766,       3.024569617,       340.2970288,                 0,                 0
          0,           0,          37,      -1.916610543,      0.1107666841,      0.2946620457,       3.496407687,       2.039025973,        2.99496863,       340.2970288,                 0,                 0
          0,           0,          38,      -1.919954386,     0.09284805813,      0.4614916975,       3.491468541,       2.106114941,       3.202402614,       340.2970288,                 0,                 0
          0,           0,          39,      -1.748183898,     0.09094446729,      0.7830787625,       3.641933201,       2.184870015,       3.341837129,       340.2970288,                 0,                 0
          0,           0,          40,      -1.575294618,       0.236706988,       1.240354818,       3.857359583,       2.238897766,       3.281482777,       340.2970288,                 0,                 0
          0,           0,          41,      -1.300999626,      0.7767346699,       1.269600931,       4.202281479,       2.441813292,       3.574978184,       340.2970288,                 0,                 0
          0,           0,          42,      -1.370542591,      0.9055839596,       1.441064918,        4.06619741,       2.280756485,       3.451526262,       340.2970288,                 0,                 0
          0,           0,          43,      -1.178446859,      0.9707641013,       1.555524242,       4.324918476,       2.367201875,       3.517369563,       340.2970288,                 0,                 0
